Rater,Theta,Score,Expected_Zones,Half_Threshold
HR-2,1.8182,3.94285,,
HR-2,2.1212,3.98053,,
HR-2,2.4242,4.01709,,
HR-2,2.7273,4.05471,,
HR-2,3.0303,4.09559,,
HR-2,3.3333,4.14173,,
HR-2,3.6364,4.19484,,
HR-2,3.9394,4.2561,,
HR-2,4.2424,4.32588,,
HR-2,4.5455,4.4036,,
HR-2,4.8485,4.48769,,
HR-2,5.1515,4.57588,,
HR-2,5.4546,4.66568,,
HR-2,5.7576,4.75503,,
HR-2,6.0606,4.84271,,
HR-2,6.3636,4.92859,,
HR-2,6.6667,5.0134,,
HR-2,6.9697,5.09833,,
HR-2,7.2727,5.18449,,
HR-2,7.5758,5.27231,,
HR-2,7.8788,5.36126,,
HR-2,8.1818,5.44974,,
HR-2,8.4849,5.53537,,
HR-2,8.7879,5.61554,,
HR-2,9.0909,5.688,,
HR-2,9.3939,5.75127,,
HR-2,9.697,5.80476,,
HR-2,10,5.84876,,
HR-2,10.303,5.8841,,
HR-2,10.6061,5.91195,,
HR-2,10.9091,5.93356,,
HR-2,11.2121,5.95013,,
HR-2,11.5152,5.96272,,
HR-2,11.8182,5.97222,,
HR-2,12.1212,5.97934,,
HR-2,12.4242,5.98467,,
HR-2,12.7273,5.98863,,
HR-2,13.0303,5.99158,,
HR-2,13.3333,5.99377,,
HR-2,13.6364,5.99539,,
HR-2,13.9394,5.99659,,
HR-2,14.2424,5.99748,,
HR-2,14.5455,5.99814,,
HR-2,14.8485,5.99862,,
HR-2,15.1515,5.99898,,
HR-2,15.4545,5.99925,,
HR-2,15.7576,5.99945,,
HR-2,16.0606,5.99959,,
HR-2,16.3636,5.9997,,
HR-2,16.6667,5.99978,,
HR-2,16.9697,5.99984,,
HR-2,17.2727,5.99988,,
HR-2,17.5758,5.99991,,
HR-2,17.8788,5.99993,,
HR-2,18.1818,5.99995,,
HR-2,18.4848,5.99996,,
HR-2,18.7879,5.99997,,
HR-2,19.0909,5.99998,,
HR-2,19.3939,5.99999,,
HR-2,19.697,5.99999,,
HR-2,20,5.99999,,
HR-2,20.303,5.99999,,
HR-2,20.6061,6,,
HR-2,20.9091,6,,
HR-2,21.2121,6,,
HR-2,21.5152,6,,
HR-2,21.8182,6,,
HR-2,22.1212,6,,
HR-2,22.4242,6,,
HR-2,22.7273,6,,
HR-2,23.0303,6,,
HR-2,23.3333,6,,
HR-2,23.6364,6,,
HR-2,23.9394,6,,
HR-2,24.2424,6,,
HR-2,24.5455,6,,
HR-2,24.8485,6,,
HR-2,25.1515,6,,
HR-2,25.4545,6,,
HR-2,25.7576,6,,
HR-2,26.0606,6,,
HR-2,26.3636,6,,
HR-2,26.6667,6,,
HR-2,26.9697,6,,
HR-2,27.2727,6,,
HR-2,27.5758,6,,
HR-2,27.8788,6,,
HR-2,28.1818,6,,
HR-2,28.4848,6,,
HR-2,28.7879,6,,
HR-2,29.0909,6,,
HR-2,29.3939,6,,
HR-2,29.697,6,,
HR-2,30,6,,
4o-Mini,-30,1,-8.18182,1.5
4o-Mini,-29.697,1,0.60606,2.5
4o-Mini,-29.3939,1,7.57576,3.5
4o-Mini,-29.0909,1,,
4o-Mini,-28.7879,1,,
4o-Mini,-28.4848,1,,
4o-Mini,-28.1818,1,,
4o-Mini,-27.8788,1,,
4o-Mini,-27.5758,1,,
4o-Mini,-27.2727,1,,
4o-Mini,-26.9697,1,,
4o-Mini,-26.6667,1,,
4o-Mini,-26.3636,1,,
4o-Mini,-26.0606,1,,
4o-Mini,-25.7576,1,,
4o-Mini,-25.4545,1,,
4o-Mini,-25.1515,1,,
4o-Mini,-24.8485,1,,
4o-Mini,-24.5455,1,,
4o-Mini,-24.2424,1,,
4o-Mini,-23.9394,1,,
4o-Mini,-23.6364,1,,
4o-Mini,-23.3333,1,,
4o-Mini,-23.0303,1,,
4o-Mini,-22.7273,1,,
4o-Mini,-22.4242,1,,
4o-Mini,-22.1212,1,,
4o-Mini,-21.8182,1,,
4o-Mini,-21.5152,1,,
4o-Mini,-21.2121,1,,
4o-Mini,-20.9091,1,,
4o-Mini,-20.6061,1,,
4o-Mini,-20.303,1.00001,,
4o-Mini,-20,1.00001,,
4o-Mini,-19.697,1.00001,,
4o-Mini,-19.3939,1.00001,,
4o-Mini,-19.0909,1.00002,,
4o-Mini,-18.7879,1.00003,,
4o-Mini,-18.4848,1.00004,,
4o-Mini,-18.1818,1.00005,,
4o-Mini,-17.8788,1.00007,,
4o-Mini,-17.5758,1.00009,,
4o-Mini,-17.2727,1.00012,,
4o-Mini,-16.9697,1.00017,,
4o-Mini,-16.6667,1.00022,,
4o-Mini,-16.3636,1.0003,,
4o-Mini,-16.0606,1.00041,,
4o-Mini,-15.7576,1.00056,,
4o-Mini,-15.4545,1.00075,,
4o-Mini,-15.1515,1.00102,,
4o-Mini,-14.8485,1.00138,,
4o-Mini,-14.5455,1.00187,,
4o-Mini,-14.2424,1.00253,,
4o-Mini,-13.9394,1.00343,,
4o-Mini,-13.6364,1.00463,,
4o-Mini,-13.3333,1.00626,,
4o-Mini,-13.0303,1.00846,,
4o-Mini,-12.7273,1.01142,,
4o-Mini,-12.4242,1.0154,,
4o-Mini,-12.1212,1.02074,,
4o-Mini,-11.8182,1.02787,,
4o-Mini,-11.5152,1.03737,,
4o-Mini,-11.2121,1.04994,,
4o-Mini,-10.9091,1.06644,,
4o-Mini,-10.6061,1.08789,,
4o-Mini,-10.303,1.11541,,
4o-Mini,-10,1.15013,,
4o-Mini,-9.697,1.19302,,
4o-Mini,-9.3939,1.24463,,
4o-Mini,-9.0909,1.30484,,
4o-Mini,-8.7879,1.37256,,
4o-Mini,-8.4849,1.44568,,
4o-Mini,-8.1818,1.52125,,
4o-Mini,-7.8788,1.59588,,
4o-Mini,-7.5758,1.66636,,
4o-Mini,-7.2727,1.73016,,
4o-Mini,-6.9697,1.78576,,
4o-Mini,-6.6667,1.83265,,
4o-Mini,-6.3636,1.87112,,
4o-Mini,-6.0606,1.90202,,
4o-Mini,-5.7576,1.92645,,
4o-Mini,-5.4545,1.94561,,
4o-Mini,-5.1515,1.96062,,
4o-Mini,-4.8485,1.97248,,
4o-Mini,-4.5455,1.98207,,
4o-Mini,-4.2424,1.99015,,
4o-Mini,-3.9394,1.99739,,
4o-Mini,-3.6364,2.0044,,
4o-Mini,-3.3333,2.01179,,
4o-Mini,-3.0303,2.02018,,
4o-Mini,-2.7273,2.03027,,
4o-Mini,-2.4242,2.04284,,
4o-Mini,-2.1212,2.05879,,
4o-Mini,-1.8182,2.07918,,
4o-Mini,-1.5152,2.10515,,
4o-Mini,-1.2121,2.13787,,
4o-Mini,-0.9091,2.17843,,
4o-Mini,-0.6061,2.22756,,
4o-Mini,-0.303,2.28539,,
4o-Mini,8.9407e-007,2.35116,,
4o-Mini,0.303,2.42312,,
4o-Mini,0.6061,2.49852,,
4o-Mini,0.9091,2.5741,,
4o-Mini,1.2121,2.64654,,
4o-Mini,1.5152,2.71311,,
4o-Mini,1.8182,2.77199,,
4o-Mini,2.1212,2.82243,,
4o-Mini,2.4242,2.8646,,
4o-Mini,2.7273,2.8993,,
4o-Mini,3.0303,2.92773,,
4o-Mini,3.3333,2.95125,,
4o-Mini,3.6364,2.97125,,
4o-Mini,3.9394,2.9891,,
4o-Mini,4.2424,3.00612,,
4o-Mini,4.5455,3.02361,,
4o-Mini,4.8485,3.04287,,
4o-Mini,5.1515,3.06527,,
4o-Mini,5.4546,3.09219,,
4o-Mini,5.7576,3.125,,
4o-Mini,6.0606,3.16498,,
4o-Mini,6.3636,3.21306,,
4o-Mini,6.6667,3.26961,,
4o-Mini,6.9697,3.33415,,
4o-Mini,7.2727,3.40517,,
4o-Mini,7.5758,3.48016,,
4o-Mini,7.8788,3.55591,,
4o-Mini,8.1818,3.62907,,
4o-Mini,8.4849,3.69671,,
4o-Mini,8.7879,3.75676,,
4o-Mini,9.0909,3.80818,,
4o-Mini,9.3939,3.85086,,
4o-Mini,9.697,3.88539,,
4o-Mini,10,3.91274,,
4o-Mini,10.303,3.93405,,
4o-Mini,10.6061,3.95044,,
4o-Mini,10.9091,3.96292,,
4o-Mini,11.2121,3.97234,,
4o-Mini,11.5152,3.97942,,
4o-Mini,11.8182,3.98472,,
4o-Mini,12.1212,3.98867,,
4o-Mini,12.4242,3.99161,,
4o-Mini,12.7273,3.99379,,
4o-Mini,13.0303,3.9954,,
4o-Mini,13.3333,3.9966,,
4o-Mini,13.6364,3.99749,,
4o-Mini,13.9394,3.99814,,
4o-Mini,14.2424,3.99863,,
4o-Mini,14.5455,3.99899,,
4o-Mini,14.8485,3.99925,,
4o-Mini,15.1515,3.99945,,
4o-Mini,15.4545,3.99959,,
4o-Mini,15.7576,3.9997,,
4o-Mini,16.0606,3.99978,,
4o-Mini,16.3636,3.99984,,
4o-Mini,16.6667,3.99988,,
4o-Mini,16.9697,3.99991,,
4o-Mini,17.2727,3.99993,,
4o-Mini,17.5758,3.99995,,
4o-Mini,17.8788,3.99996,,
4o-Mini,18.1818,3.99997,,
4o-Mini,18.4848,3.99998,,
4o-Mini,18.7879,3.99999,,
4o-Mini,19.0909,3.99999,,
4o-Mini,19.3939,3.99999,,
4o-Mini,19.697,3.99999,,
4o-Mini,20,4,,
4o-Mini,20.303,4,,
4o-Mini,20.6061,4,,
4o-Mini,20.9091,4,,
4o-Mini,21.2121,4,,
4o-Mini,21.5152,4,,
4o-Mini,21.8182,4,,
4o-Mini,22.1212,4,,
4o-Mini,22.4242,4,,
4o-Mini,22.7273,4,,
4o-Mini,23.0303,4,,
4o-Mini,23.3333,4,,
4o-Mini,23.6364,4,,
4o-Mini,23.9394,4,,
4o-Mini,24.2424,4,,
4o-Mini,24.5455,4,,
4o-Mini,24.8485,4,,
4o-Mini,25.1515,4,,
4o-Mini,25.4545,4,,
4o-Mini,25.7576,4,,
4o-Mini,26.0606,4,,
4o-Mini,26.3636,4,,
4o-Mini,26.6667,4,,
4o-Mini,26.9697,4,,
4o-Mini,27.2727,4,,
4o-Mini,27.5758,4,,
4o-Mini,27.8788,4,,
4o-Mini,28.1818,4,,
4o-Mini,28.4848,4,,
4o-Mini,28.7879,4,,
4o-Mini,29.0909,4,,
4o-Mini,29.3939,4,,
4o-Mini,29.697,4,,
4o-Mini,30,4,,
GPT-4o,-30,1,-7.87879,1.5
GPT-4o,-29.697,1,0.30303,2.5
GPT-4o,-29.3939,1,7.27273,3.5
GPT-4o,-29.0909,1,,
GPT-4o,-28.7879,1,,
GPT-4o,-28.4848,1,,
GPT-4o,-28.1818,1,,
GPT-4o,-27.8788,1,,
GPT-4o,-27.5758,1,,
GPT-4o,-27.2727,1,,
GPT-4o,-26.9697,1,,
GPT-4o,-26.6667,1,,
GPT-4o,-26.3636,1,,
GPT-4o,-26.0606,1,,
GPT-4o,-25.7576,1,,
GPT-4o,-25.4545,1,,
GPT-4o,-25.1515,1,,
GPT-4o,-24.8485,1,,
GPT-4o,-24.5455,1,,
GPT-4o,-24.2424,1,,
GPT-4o,-23.9394,1,,
GPT-4o,-23.6364,1,,
GPT-4o,-23.3333,1,,
GPT-4o,-23.0303,1,,
GPT-4o,-22.7273,1,,
GPT-4o,-22.4242,1,,
GPT-4o,-22.1212,1,,
GPT-4o,-21.8182,1,,
GPT-4o,-21.5152,1,,
GPT-4o,-21.2121,1,,
GPT-4o,-20.9091,1,,
GPT-4o,-20.6061,1,,
GPT-4o,-20.303,1,,
GPT-4o,-20,1,,
GPT-4o,-19.697,1.00001,,
GPT-4o,-19.3939,1.00001,,
GPT-4o,-19.0909,1.00001,,
GPT-4o,-18.7879,1.00002,,
GPT-4o,-18.4848,1.00002,,
GPT-4o,-18.1818,1.00003,,
GPT-4o,-17.8788,1.00004,,
GPT-4o,-17.5758,1.00005,,
GPT-4o,-17.2727,1.00007,,
GPT-4o,-16.9697,1.0001,,
GPT-4o,-16.6667,1.00013,,
GPT-4o,-16.3636,1.00018,,
GPT-4o,-16.0606,1.00024,,
GPT-4o,-15.7576,1.00033,,
GPT-4o,-15.4545,1.00044,,
GPT-4o,-15.1515,1.0006,,
GPT-4o,-14.8485,1.00081,,
GPT-4o,-14.5455,1.00109,,
GPT-4o,-14.2424,1.00148,,
GPT-4o,-13.9394,1.002,,
GPT-4o,-13.6364,1.00271,,
GPT-4o,-13.3333,1.00366,,
GPT-4o,-13.0303,1.00495,,
GPT-4o,-12.7273,1.00669,,
GPT-4o,-12.4242,1.00904,,
GPT-4o,-12.1212,1.0122,,
GPT-4o,-11.8182,1.01644,,
GPT-4o,-11.5152,1.02214,,
GPT-4o,-11.2121,1.02974,,
GPT-4o,-10.9091,1.03985,,
GPT-4o,-10.6061,1.0532,,
GPT-4o,-10.303,1.0707,,
GPT-4o,-10,1.09339,,
GPT-4o,-9.697,1.1224,,
GPT-4o,-9.3939,1.15885,,
GPT-4o,-9.0909,1.20363,,
GPT-4o,-8.7879,1.25719,,
GPT-4o,-8.4849,1.31919,,
GPT-4o,-8.1818,1.38834,,
GPT-4o,-7.8788,1.46232,,
GPT-4o,-7.5758,1.53803,,
GPT-4o,-7.2727,1.61208,,
GPT-4o,-6.9697,1.68137,,
GPT-4o,-6.6667,1.7436,,
GPT-4o,-6.3636,1.79749,,
GPT-4o,-6.0606,1.84272,,
GPT-4o,-5.7576,1.87978,,
GPT-4o,-5.4545,1.9096,,
GPT-4o,-5.1515,1.93339,,
GPT-4o,-4.8485,1.95236,,
GPT-4o,-4.5455,1.96769,,
GPT-4o,-4.2424,1.98045,,
GPT-4o,-3.9394,1.99163,,
GPT-4o,-3.6364,2.00212,,
GPT-4o,-3.3333,2.01278,,
GPT-4o,-3.0303,2.02449,,
GPT-4o,-2.7273,2.03817,,
GPT-4o,-2.4242,2.05485,,
GPT-4o,-2.1212,2.07563,,
GPT-4o,-1.8182,2.10173,,
GPT-4o,-1.5152,2.13437,,
GPT-4o,-1.2121,2.17468,,
GPT-4o,-0.9091,2.22345,,
GPT-4o,-0.6061,2.28087,,
GPT-4o,-0.303,2.34629,,
GPT-4o,8.9407e-007,2.41799,,
GPT-4o,0.303,2.49333,,
GPT-4o,0.6061,2.56904,,
GPT-4o,0.9091,2.6418,,
GPT-4o,1.2121,2.70883,,
GPT-4o,1.5152,2.76825,,
GPT-4o,1.8182,2.81924,,
GPT-4o,2.1212,2.86191,,
GPT-4o,2.4242,2.89702,,
GPT-4o,2.7273,2.92576,,
GPT-4o,3.0303,2.94948,,
GPT-4o,3.3333,2.96956,,
GPT-4o,3.6364,2.98736,,
GPT-4o,3.9394,3.0042,,
GPT-4o,4.2424,3.02135,,
GPT-4o,4.5455,3.04013,,
GPT-4o,4.8485,3.06186,,
GPT-4o,5.1515,3.08791,,
GPT-4o,5.4546,3.11968,,
GPT-4o,5.7576,3.15844,,
GPT-4o,6.0606,3.2052,,
GPT-4o,6.3636,3.26044,,
GPT-4o,6.6667,3.32381,,
GPT-4o,6.9697,3.39396,,
GPT-4o,7.2727,3.46852,,
GPT-4o,7.5758,3.54437,,
GPT-4o,7.8788,3.61813,,
GPT-4o,8.1818,3.68677,,
GPT-4o,8.4849,3.74808,,
GPT-4o,8.7879,3.80085,,
GPT-4o,9.0909,3.84485,,
GPT-4o,9.3939,3.88058,,
GPT-4o,9.697,3.90896,,
GPT-4o,10,3.93112,,
GPT-4o,10.303,3.9482,,
GPT-4o,10.6061,3.96122,,
GPT-4o,10.9091,3.97106,,
GPT-4o,11.2121,3.97846,,
GPT-4o,11.5152,3.984,,
GPT-4o,11.8182,3.98814,,
GPT-4o,12.1212,3.99121,,
GPT-4o,12.4242,3.99349,,
GPT-4o,12.7273,3.99519,,
GPT-4o,13.0303,3.99644,,
GPT-4o,13.3333,3.99737,,
GPT-4o,13.6364,3.99805,,
GPT-4o,13.9394,3.99856,,
GPT-4o,14.2424,3.99894,,
GPT-4o,14.5455,3.99922,,
GPT-4o,14.8485,3.99942,,
GPT-4o,15.1515,3.99957,,
GPT-4o,15.4545,3.99968,,
GPT-4o,15.7576,3.99977,,
GPT-4o,16.0606,3.99983,,
GPT-4o,16.3636,3.99987,,
GPT-4o,16.6667,3.99991,,
GPT-4o,16.9697,3.99993,,
GPT-4o,17.2727,3.99995,,
GPT-4o,17.5758,3.99996,,
GPT-4o,17.8788,3.99997,,
GPT-4o,18.1818,3.99998,,
GPT-4o,18.4848,3.99998,,
GPT-4o,18.7879,3.99999,,
GPT-4o,19.0909,3.99999,,
GPT-4o,19.3939,3.99999,,
GPT-4o,19.697,4,,
GPT-4o,20,4,,
GPT-4o,20.303,4,,
GPT-4o,20.6061,4,,
GPT-4o,20.9091,4,,
GPT-4o,21.2121,4,,
GPT-4o,21.5152,4,,
GPT-4o,21.8182,4,,
GPT-4o,22.1212,4,,
GPT-4o,22.4242,4,,
GPT-4o,22.7273,4,,
GPT-4o,23.0303,4,,
GPT-4o,23.3333,4,,
GPT-4o,23.6364,4,,
GPT-4o,23.9394,4,,
GPT-4o,24.2424,4,,
GPT-4o,24.5455,4,,
GPT-4o,24.8485,4,,
GPT-4o,25.1515,4,,
GPT-4o,25.4545,4,,
GPT-4o,25.7576,4,,
GPT-4o,26.0606,4,,
GPT-4o,26.3636,4,,
GPT-4o,26.6667,4,,
GPT-4o,26.9697,4,,
GPT-4o,27.2727,4,,
GPT-4o,27.5758,4,,
GPT-4o,27.8788,4,,
GPT-4o,28.1818,4,,
GPT-4o,28.4848,4,,
GPT-4o,28.7879,4,,
GPT-4o,29.0909,4,,
GPT-4o,29.3939,4,,
GPT-4o,29.697,4,,
