Rater,Trait,Theta,info_data_rater
HR-1,I&C,9.39394,0.278641
HR-1,I&C,9.69697,0.273651
HR-1,I&C,10,0.259308
HR-1,I&C,10.303,0.236635
HR-1,I&C,10.6061,0.208183
HR-1,I&C,10.9091,0.177116
HR-1,I&C,11.2121,0.146341
HR-1,I&C,11.5152,0.117976
HR-1,I&C,11.8182,0.0932187
HR-1,I&C,12.1212,0.0724882
HR-1,I&C,12.4242,0.0556667
HR-1,I&C,12.7273,0.0423382
HR-1,I&C,13.0303,0.0319646
HR-1,I&C,13.3333,0.0239986
HR-1,I&C,13.6364,0.0179425
HR-1,I&C,13.9394,0.0133726
HR-1,I&C,14.2424,0.00994329
HR-1,I&C,14.5455,0.00738056
HR-1,I&C,14.8485,0.00547126
HR-1,I&C,15.1515,0.00405198
HR-1,I&C,15.4545,0.00299875
HR-1,I&C,15.7576,0.00221811
HR-1,I&C,16.0606,0.00164005
HR-1,I&C,16.3636,0.00121229
HR-1,I&C,16.6667,0.00089591
HR-1,I&C,16.9697,0.000661992
HR-1,I&C,17.2727,0.000489093
HR-1,I&C,17.5758,0.00036132
HR-1,I&C,17.8788,0.00026691
HR-1,I&C,18.1818,0.00019716
HR-1,I&C,18.4848,0.000145632
HR-1,I&C,18.7879,0.000107568
HR-1,I&C,19.0909,7.94516e-005
HR-1,I&C,19.3939,5.86835e-005
HR-1,I&C,19.697,4.33434e-005
HR-1,I&C,20,3.20131e-005
HR-1,I&C,20.303,2.36445e-005
HR-1,I&C,20.6061,1.74635e-005
HR-1,I&C,20.9091,1.28983e-005
HR-1,I&C,21.2121,9.52642e-006
HR-1,I&C,21.5152,7.03602e-006
HR-1,I&C,21.8182,5.19666e-006
HR-1,I&C,22.1212,3.83814e-006
HR-1,I&C,22.4242,2.83477e-006
HR-1,I&C,22.7273,2.0937e-006
HR-1,I&C,23.0303,1.54636e-006
HR-1,I&C,23.3333,1.1421e-006
HR-1,I&C,23.6364,8.43531e-007
HR-1,I&C,23.9394,6.23013e-007
HR-1,I&C,24.2424,4.60143e-007
HR-1,I&C,24.5455,3.39851e-007
HR-1,I&C,24.8485,2.51006e-007
HR-1,I&C,25.1515,1.85387e-007
HR-1,I&C,25.4545,1.36923e-007
HR-1,I&C,25.7576,1.01128e-007
HR-1,I&C,26.0606,7.46908e-008
HR-1,I&C,26.3636,5.51649e-008
HR-1,I&C,26.6667,4.07435e-008
HR-1,I&C,26.9697,3.00922e-008
HR-1,I&C,27.2727,2.22254e-008
HR-1,I&C,27.5758,1.64152e-008
HR-1,I&C,27.8788,1.21239e-008
HR-1,I&C,28.1818,8.9544e-009
HR-1,I&C,28.4848,6.6135e-009
HR-1,I&C,28.7879,4.88458e-009
HR-1,I&C,29.0909,3.60764e-009
HR-1,I&C,29.3939,2.66451e-009
HR-1,I&C,29.697,1.96795e-009
HR-1,I&C,30,1.45349e-009
HR-2,I&C,-30,8.68726e-010
HR-2,I&C,-29.697,1.17622e-009
HR-2,I&C,-29.3939,1.59254e-009
HR-2,I&C,-29.0909,2.15623e-009
HR-2,I&C,-28.7879,2.91945e-009
HR-2,I&C,-28.4848,3.9528e-009
HR-2,I&C,-28.1818,5.35191e-009
HR-2,I&C,-27.8788,7.24625e-009
HR-2,I&C,-27.5758,9.8111e-009
HR-2,I&C,-27.2727,1.32838e-008
HR-2,I&C,-26.9697,1.79857e-008
HR-2,I&C,-26.6667,2.43518e-008
HR-2,I&C,-26.3636,3.29713e-008
HR-2,I&C,-26.0606,4.46416e-008
HR-2,I&C,-25.7576,6.04427e-008
HR-2,I&C,-25.4545,8.18367e-008
HR-2,I&C,-25.1515,1.10803e-007
HR-2,I&C,-24.8485,1.50023e-007
HR-2,I&C,-24.5455,2.03124e-007
HR-2,I&C,-24.2424,2.75021e-007
HR-2,I&C,-23.9394,3.72366e-007
HR-2,I&C,-23.6364,5.04167e-007
HR-2,I&C,-23.3333,6.82619e-007
HR-2,I&C,-23.0303,9.24237e-007
HR-2,I&C,-22.7273,1.25137e-006
HR-2,I&C,-22.4242,1.6943e-006
HR-2,I&C,-22.1212,2.29401e-006
HR-2,I&C,-21.8182,3.10598e-006
HR-2,I&C,-21.5152,4.20535e-006
HR-2,I&C,-21.2121,5.69385e-006
HR-2,I&C,-20.9091,7.70919e-006
HR-2,I&C,-20.6061,1.04378e-005
HR-2,I&C,-20.303,1.41323e-005
HR-2,I&C,-20,1.91343e-005
HR-2,I&C,-19.697,2.59067e-005
HR-2,I&C,-19.3939,3.50759e-005
HR-2,I&C,-19.0909,4.74903e-005
HR-2,I&C,-18.7879,6.42978e-005
HR-2,I&C,-18.4848,8.70529e-005
HR-2,I&C,-18.1818,0.000117859
HR-2,I&C,-17.8788,0.000159564
HR-2,I&C,-17.5758,0.000216022
HR-2,I&C,-17.2727,0.000292445
HR-2,I&C,-16.9697,0.000395885
HR-2,I&C,-16.6667,0.000535878
HR-2,I&C,-16.3636,0.000725313
HR-2,I&C,-16.0606,0.000981598
HR-2,I&C,-15.7576,0.00132823
HR-2,I&C,-15.4545,0.00179687
HR-2,I&C,-15.1515,0.00243016
HR-2,I&C,-14.8485,0.00328535
HR-2,I&C,-14.5455,0.00443911
HR-2,I&C,-14.2424,0.00599372
HR-2,I&C,-13.9394,0.0080849
HR-2,I&C,-13.6364,0.0108914
HR-2,I&C,-13.3333,0.0146461
HR-2,I&C,-13.0303,0.0196487
HR-2,I&C,-12.7273,0.0262764
HR-2,I&C,-12.4242,0.0349911
HR-2,I&C,-12.1212,0.0463349
HR-2,I&C,-11.8182,0.0609036
HR-2,I&C,-11.5152,0.0792828
HR-2,I&C,-11.2121,0.101929
HR-2,I&C,-10.9091,0.128986
HR-2,I&C,-10.6061,0.160046
HR-2,I&C,-10.303,0.193915
HR-2,I&C,-10,0.228509
HR-2,I&C,-9.69697,0.261039
HR-2,I&C,-9.39394,0.28859
HR-2,I&C,-9.09091,0.308982
HR-2,I&C,-8.78788,0.321565
HR-2,I&C,-8.48485,0.32748
HR-2,I&C,-8.18182,0.329153
HR-2,I&C,-7.87879,0.329208
HR-2,I&C,-7.57576,0.32932
HR-2,I&C,-7.27273,0.329485
HR-2,I&C,-6.9697,0.328031
HR-2,I&C,-6.66667,0.322351
HR-2,I&C,-6.36364,0.31006
HR-2,I&C,-6.06061,0.290078
HR-2,I&C,-5.75758,0.263125
HR-2,I&C,-5.45454,0.231458
HR-2,I&C,-5.15151,0.198082
HR-2,I&C,-4.84848,0.165883
HR-2,I&C,-4.54545,0.137077
HR-2,I&C,-4.24242,0.11303
HR-2,I&C,-3.93939,0.0943795
HR-2,I&C,-3.63636,0.0812815
HR-2,I&C,-3.33333,0.0736532
HR-2,I&C,-3.0303,0.0713592
HR-2,I&C,-2.72727,0.074314
HR-2,I&C,-2.42424,0.0825014
HR-2,I&C,-2.12121,0.0959121
HR-2,I&C,-1.81818,0.114398
HR-2,I&C,-1.51515,0.137446
HR-2,I&C,-1.21212,0.163915
HR-2,I&C,-0.90909,0.191808
HR-2,I&C,-0.60606,0.218247
HR-2,I&C,-0.303029,0.239798
HR-2,I&C,8.9407e-007,0.2532
HR-2,I&C,0.303031,0.256307
HR-2,I&C,0.606062,0.248825
HR-2,I&C,0.909092,0.232454
HR-2,I&C,1.21212,0.210348
HR-2,I&C,1.51515,0.186204
HR-2,I&C,1.81818,0.163428
HR-2,I&C,2.12121,0.144644
HR-2,I&C,2.42424,0.131597
HR-2,I&C,2.72727,0.125278
HR-2,I&C,3.0303,0.126122
HR-2,I&C,3.33333,0.13412
HR-2,I&C,3.63636,0.148815
HR-2,I&C,3.93939,0.169168
HR-2,I&C,4.24243,0.193375
HR-2,I&C,4.54546,0.218762
HR-2,I&C,4.84849,0.241952
HR-2,I&C,5.15152,0.259417
HR-2,I&C,5.45455,0.268363
HR-2,I&C,5.75758,0.267625
HR-2,I&C,6.06061,0.258111
HR-2,I&C,6.36364,0.242555
HR-2,I&C,6.66667,0.224709
HR-2,I&C,6.9697,0.208371
HR-2,I&C,7.27273,0.196645
HR-2,I&C,7.57576,0.191548
HR-2,I&C,7.87879,0.193882
HR-2,I&C,8.18182,0.203212
HR-2,I&C,8.48485,0.217878
HR-2,I&C,8.78788,0.235061
HR-2,I&C,9.09091,0.251073
HR-2,I&C,9.39394,0.261981
HR-2,I&C,9.69697,0.264528
HR-2,I&C,10,0.257038
HR-2,I&C,10.303,0.239872
HR-2,I&C,10.6061,0.215192
HR-2,I&C,10.9091,0.186148
HR-2,I&C,11.2121,0.155942
HR-2,I&C,11.5152,0.127132
HR-2,I&C,11.8182,0.101353
HR-2,I&C,12.1212,0.0793652
HR-2,I&C,12.4242,0.0612769
HR-2,I&C,12.7273,0.0467972
HR-2,I&C,13.0303,0.0354413
HR-2,I&C,13.3333,0.0266713
HR-2,I&C,13.6364,0.0199758
HR-2,I&C,13.9394,0.0149075
HR-2,I&C,14.2424,0.0110955
HR-2,I&C,14.5455,0.00824175
HR-2,I&C,14.8485,0.00611294
HR-2,I&C,15.1515,0.00452902
HR-2,I&C,15.4545,0.00335277
HR-2,I&C,15.7576,0.00248052
HR-2,I&C,16.0606,0.00183437
HR-2,I&C,16.3636,0.00135609
HR-2,I&C,16.6667,0.00100227
HR-2,I&C,16.9697,0.000740629
HR-2,I&C,17.2727,0.000547218
HR-2,I&C,17.5758,0.000404274
HR-2,I&C,17.8788,0.000298649
HR-2,I&C,18.1818,0.000220609
HR-2,I&C,18.4848,0.000162955
HR-2,I&C,18.7879,0.000120365
HR-2,I&C,19.0909,8.8904e-005
HR-2,I&C,19.3939,6.56654e-005
HR-2,I&C,19.697,4.85005e-005
HR-2,I&C,20,3.58222e-005
HR-2,I&C,20.303,2.64579e-005
HR-2,I&C,20.6061,1.95415e-005
HR-2,I&C,20.9091,1.4433e-005
HR-2,I&C,21.2121,1.066e-005
HR-2,I&C,21.5152,7.87325e-006
HR-2,I&C,21.8182,5.81502e-006
HR-2,I&C,22.1212,4.29485e-006
HR-2,I&C,22.4242,3.17209e-006
HR-2,I&C,22.7273,2.34283e-006
HR-2,I&C,23.0303,1.73037e-006
HR-2,I&C,23.3333,1.27801e-006
HR-2,I&C,23.6364,9.43907e-007
HR-2,I&C,23.9394,6.97148e-007
HR-2,I&C,24.2424,5.14898e-007
HR-2,I&C,24.5455,3.80292e-007
HR-2,I&C,24.8485,2.80875e-007
HR-2,I&C,25.1515,2.07448e-007
HR-2,I&C,25.4545,1.53216e-007
HR-2,I&C,25.7576,1.13162e-007
HR-2,I&C,26.0606,8.35786e-008
HR-2,I&C,26.3636,6.17292e-008
HR-2,I&C,26.6667,4.55918e-008
HR-2,I&C,26.9697,3.3673e-008
HR-2,I&C,27.2727,2.48701e-008
HR-2,I&C,27.5758,1.83685e-008
HR-2,I&C,27.8788,1.35665e-008
HR-2,I&C,28.1818,1.00199e-008
HR-2,I&C,28.4848,7.40049e-009
HR-2,I&C,28.7879,5.46583e-009
HR-2,I&C,29.0909,4.03693e-009
HR-2,I&C,29.3939,2.98158e-009
HR-2,I&C,29.697,2.20212e-009
HR-2,I&C,30,1.62644e-009
4o-Mini,I&C,-30,1.37891e-010
4o-Mini,I&C,-29.697,1.86698e-010
4o-Mini,I&C,-29.3939,2.5278e-010
4o-Mini,I&C,-29.0909,3.42253e-010
4o-Mini,I&C,-28.7879,4.63397e-010
4o-Mini,I&C,-28.4848,6.27418e-010
4o-Mini,I&C,-28.1818,8.49496e-010
4o-Mini,I&C,-27.8788,1.15018e-009
4o-Mini,I&C,-27.5758,1.55729e-009
4o-Mini,I&C,-27.2727,2.1085e-009
4o-Mini,I&C,-26.9697,2.85482e-009
4o-Mini,I&C,-26.6667,3.8653e-009
4o-Mini,I&C,-26.3636,5.23345e-009
4o-Mini,I&C,-26.0606,7.08585e-009
4o-Mini,I&C,-25.7576,9.59392e-009
4o-Mini,I&C,-25.4545,1.29897e-008
4o-Mini,I&C,-25.1515,1.75875e-008
4o-Mini,I&C,-24.8485,2.38128e-008
4o-Mini,I&C,-24.5455,3.22414e-008
4o-Mini,I&C,-24.2424,4.36534e-008
4o-Mini,I&C,-23.9394,5.91048e-008
4o-Mini,I&C,-23.6364,8.00252e-008
4o-Mini,I&C,-23.3333,1.08351e-007
4o-Mini,I&C,-23.0303,1.46702e-007
4o-Mini,I&C,-22.7273,1.98628e-007
4o-Mini,I&C,-22.4242,2.68933e-007
4o-Mini,I&C,-22.1212,3.64124e-007
4o-Mini,I&C,-21.8182,4.93007e-007
4o-Mini,I&C,-21.5152,6.67509e-007
4o-Mini,I&C,-21.2121,9.03778e-007
4o-Mini,I&C,-20.9091,1.22367e-006
4o-Mini,I&C,-20.6061,1.6568e-006
4o-Mini,I&C,-20.303,2.24323e-006
4o-Mini,I&C,-20,3.03723e-006
4o-Mini,I&C,-19.697,4.11226e-006
4o-Mini,I&C,-19.3939,5.5678e-006
4o-Mini,I&C,-19.0909,7.53853e-006
4o-Mini,I&C,-18.7879,1.02068e-005
4o-Mini,I&C,-18.4848,1.38194e-005
4o-Mini,I&C,-18.1818,1.87107e-005
4o-Mini,I&C,-17.8788,2.53331e-005
4o-Mini,I&C,-17.5758,3.42993e-005
4o-Mini,I&C,-17.2727,4.64387e-005
4o-Mini,I&C,-16.9697,6.28739e-005
4o-Mini,I&C,-16.6667,8.51246e-005
4o-Mini,I&C,-16.3636,0.000115248
4o-Mini,I&C,-16.0606,0.000156028
4o-Mini,I&C,-15.7576,0.000211232
4o-Mini,I&C,-15.4545,0.000285957
4o-Mini,I&C,-15.1515,0.000387095
4o-Mini,I&C,-14.8485,0.000523968
4o-Mini,I&C,-14.5455,0.00070917
4o-Mini,I&C,-14.2424,0.000959708
4o-Mini,I&C,-13.9394,0.00129853
4o-Mini,I&C,-13.6364,0.00175655
4o-Mini,I&C,-13.3333,0.00237537
4o-Mini,I&C,-13.0303,0.00321081
4o-Mini,I&C,-12.7273,0.00433752
4o-Mini,I&C,-12.4242,0.00585496
4o-Mini,I&C,-12.1212,0.00789483
4o-Mini,I&C,-11.8182,0.0106301
4o-Mini,I&C,-11.5152,0.0142852
4o-Mini,I&C,-11.2121,0.0191471
4o-Mini,I&C,-10.9091,0.0255742
4o-Mini,I&C,-10.6061,0.0339999
4o-Mini,I&C,-10.303,0.0449223
4o-Mini,I&C,-10,0.0588704
4o-Mini,I&C,-9.69697,0.076328
4o-Mini,I&C,-9.39394,0.0976016
4o-Mini,I&C,-9.09091,0.122619
4o-Mini,I&C,-8.78788,0.15068
4o-Mini,I&C,-8.48485,0.180218
4o-Mini,I&C,-8.18182,0.208723
4o-Mini,I&C,-7.87879,0.232972
4o-Mini,I&C,-7.57576,0.249668
4o-Mini,I&C,-7.27273,0.256373
4o-Mini,I&C,-6.9697,0.252345
4o-Mini,I&C,-6.66667,0.238864
4o-Mini,I&C,-6.36364,0.218857
4o-Mini,I&C,-6.06061,0.19604
4o-Mini,I&C,-5.75758,0.174031
4o-Mini,I&C,-5.45454,0.155752
4o-Mini,I&C,-5.15151,0.143227
4o-Mini,I&C,-4.84848,0.137659
4o-Mini,I&C,-4.54545,0.139582
4o-Mini,I&C,-4.24242,0.148972
4o-Mini,I&C,-3.93939,0.165226
4o-Mini,I&C,-3.63636,0.187046
4o-Mini,I&C,-3.33333,0.212292
4o-Mini,I&C,-3.0303,0.237998
4o-Mini,I&C,-2.72727,0.260705
4o-Mini,I&C,-2.42424,0.27718
4o-Mini,I&C,-2.12121,0.285358
4o-Mini,I&C,-1.81818,0.285081
4o-Mini,I&C,-1.51515,0.278226
4o-Mini,I&C,-1.21212,0.268126
4o-Mini,I&C,-0.90909,0.258536
4o-Mini,I&C,-0.60606,0.252598
4o-Mini,I&C,-0.303029,0.252093
4o-Mini,I&C,8.9407e-007,0.257071
4o-Mini,I&C,0.303031,0.265835
4o-Mini,I&C,0.606062,0.275275
4o-Mini,I&C,0.909092,0.281582
4o-Mini,I&C,1.21212,0.281263
4o-Mini,I&C,1.51515,0.272181
4o-Mini,I&C,1.81818,0.254185
4o-Mini,I&C,2.12121,0.229031
4o-Mini,I&C,2.42424,0.19967
4o-Mini,I&C,2.72727,0.169306
4o-Mini,I&C,3.0303,0.140645
4o-Mini,I&C,3.33333,0.115546
4o-Mini,I&C,3.63636,0.0950229
4o-Mini,I&C,3.93939,0.0794587
4o-Mini,I&C,4.24243,0.0688659
4o-Mini,I&C,4.54546,0.0631103
4o-Mini,I&C,4.84849,0.0620639
4o-Mini,I&C,5.15152,0.0656837
4o-Mini,I&C,5.45455,0.0740202
4o-Mini,I&C,5.75758,0.087157
4o-Mini,I&C,6.06061,0.105077
4o-Mini,I&C,6.36364,0.127454
4o-Mini,I&C,6.66667,0.153389
4o-Mini,I&C,6.9697,0.18116
4o-Mini,I&C,7.27273,0.208124
4o-Mini,I&C,7.57576,0.230926
4o-Mini,I&C,7.87879,0.246116
4o-Mini,I&C,8.18182,0.25107
4o-Mini,I&C,8.48485,0.244818
4o-Mini,I&C,8.78788,0.228379
4o-Mini,I&C,9.09091,0.204385
4o-Mini,I&C,9.39394,0.176224
4o-Mini,I&C,9.69697,0.147129
4o-Mini,I&C,10,0.119573
4o-Mini,I&C,10.303,0.0950699
4o-Mini,I&C,10.6061,0.0742793
4o-Mini,I&C,10.9091,0.057248
4o-Mini,I&C,11.2121,0.0436591
4o-Mini,I&C,11.5152,0.0330291
4o-Mini,I&C,11.8182,0.0248356
4o-Mini,I&C,12.1212,0.0185893
4o-Mini,I&C,12.4242,0.0138663
4o-Mini,I&C,12.7273,0.0103169
4o-Mini,I&C,13.0303,0.00766145
4o-Mini,I&C,13.3333,0.00568142
4o-Mini,I&C,13.6364,0.00420871
4o-Mini,I&C,13.9394,0.00311532
4o-Mini,I&C,14.2424,0.00230466
4o-Mini,I&C,14.5455,0.00170422
4o-Mini,I&C,14.8485,0.00125982
4o-Mini,I&C,15.1515,0.000931085
4o-Mini,I&C,15.4545,0.000688012
4o-Mini,I&C,15.7576,0.000508332
4o-Mini,I&C,16.0606,0.000375542
4o-Mini,I&C,16.3636,0.000277421
4o-Mini,I&C,16.6667,0.000204926
4o-Mini,I&C,16.9697,0.00015137
4o-Mini,I&C,17.2727,0.000111807
4o-Mini,I&C,17.5758,8.25829e-005
4o-Mini,I&C,17.8788,6.09965e-005
4o-Mini,I&C,18.1818,4.5052e-005
4o-Mini,I&C,18.4848,3.32752e-005
4o-Mini,I&C,18.7879,2.45767e-005
4o-Mini,I&C,19.0909,1.8152e-005
4o-Mini,I&C,19.3939,1.34068e-005
4o-Mini,I&C,19.697,9.90199e-006
4o-Mini,I&C,20,7.31342e-006
4o-Mini,I&C,20.303,5.40155e-006
4o-Mini,I&C,20.6061,3.98947e-006
4o-Mini,I&C,20.9091,2.94654e-006
4o-Mini,I&C,21.2121,2.17625e-006
4o-Mini,I&C,21.5152,1.60732e-006
4o-Mini,I&C,21.8182,1.18713e-006
4o-Mini,I&C,22.1212,8.7679e-007
4o-Mini,I&C,22.4242,6.47577e-007
4o-Mini,I&C,22.7273,4.78286e-007
4o-Mini,I&C,23.0303,3.53251e-007
4o-Mini,I&C,23.3333,2.60902e-007
4o-Mini,I&C,23.6364,1.92697e-007
4o-Mini,I&C,23.9394,1.42321e-007
4o-Mini,I&C,24.2424,1.05115e-007
4o-Mini,I&C,24.5455,7.76357e-008
4o-Mini,I&C,24.8485,5.73399e-008
4o-Mini,I&C,25.1515,4.23499e-008
4o-Mini,I&C,25.4545,3.12786e-008
4o-Mini,I&C,25.7576,2.31017e-008
4o-Mini,I&C,26.0606,1.70624e-008
4o-Mini,I&C,26.3636,1.26019e-008
4o-Mini,I&C,26.6667,9.30745e-009
4o-Mini,I&C,26.9697,6.87427e-009
4o-Mini,I&C,27.2727,5.07717e-009
4o-Mini,I&C,27.5758,3.74988e-009
4o-Mini,I&C,27.8788,2.76957e-009
4o-Mini,I&C,28.1818,2.04554e-009
4o-Mini,I&C,28.4848,1.51079e-009
4o-Mini,I&C,28.7879,1.11583e-009
4o-Mini,I&C,29.0909,8.2413e-010
4o-Mini,I&C,29.3939,6.08683e-010
4o-Mini,I&C,29.697,4.49557e-010
4o-Mini,I&C,30,3.32035e-010
GPT-4o,I&C,-30,1.89944e-009
GPT-4o,I&C,-29.697,2.57175e-009
GPT-4o,I&C,-29.3939,3.48204e-009
GPT-4o,I&C,-29.0909,4.71452e-009
GPT-4o,I&C,-28.7879,6.38327e-009
GPT-4o,I&C,-28.4848,8.64266e-009
GPT-4o,I&C,-28.1818,1.17018e-008
GPT-4o,I&C,-27.8788,1.58437e-008
GPT-4o,I&C,-27.5758,2.14516e-008
GPT-4o,I&C,-27.2727,2.90445e-008
GPT-4o,I&C,-26.9697,3.93251e-008
GPT-4o,I&C,-26.6667,5.32444e-008
GPT-4o,I&C,-26.3636,7.20905e-008
GPT-4o,I&C,-26.0606,9.76072e-008
GPT-4o,I&C,-25.7576,1.32156e-007
GPT-4o,I&C,-25.4545,1.78933e-007
GPT-4o,I&C,-25.1515,2.42267e-007
GPT-4o,I&C,-24.8485,3.2802e-007
GPT-4o,I&C,-24.5455,4.44124e-007
GPT-4o,I&C,-24.2424,6.01323e-007
GPT-4o,I&C,-23.9394,8.14164e-007
GPT-4o,I&C,-23.6364,1.10234e-006
GPT-4o,I&C,-23.3333,1.49252e-006
GPT-4o,I&C,-23.0303,2.02081e-006
GPT-4o,I&C,-22.7273,2.73608e-006
GPT-4o,I&C,-22.4242,3.70452e-006
GPT-4o,I&C,-22.1212,5.01574e-006
GPT-4o,I&C,-21.8182,6.79106e-006
GPT-4o,I&C,-21.5152,9.19475e-006
GPT-4o,I&C,-21.2121,1.24492e-005
GPT-4o,I&C,-20.9091,1.68555e-005
GPT-4o,I&C,-20.6061,2.28214e-005
GPT-4o,I&C,-20.303,3.08986e-005
GPT-4o,I&C,-20,4.18344e-005
GPT-4o,I&C,-19.697,5.66402e-005
GPT-4o,I&C,-19.3939,7.66853e-005
GPT-4o,I&C,-19.0909,0.000103823
GPT-4o,I&C,-18.7879,0.000140561
GPT-4o,I&C,-18.4848,0.000190295
GPT-4o,I&C,-18.1818,0.000257616
GPT-4o,I&C,-17.8788,0.000348737
GPT-4o,I&C,-17.5758,0.000472058
GPT-4o,I&C,-17.2727,0.000638933
GPT-4o,I&C,-16.9697,0.000864696
GPT-4o,I&C,-16.6667,0.00117004
GPT-4o,I&C,-16.3636,0.00158288
